drug,criterion,criterion_key,current_score,current_grade,audit_status,audit_problem,recommended_action,v6_destination
LSD,Getting hooked,add,2,P,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
LSD,Danger in quitting,wd,0,J,unsupported_or_wrong_construct,"The cell measures symptom prevalence/severity, psychiatric risk, or author judgment rather than a common medical-hazard endpoint.",Move symptom burden and psychiatric risk to their own variables; use a conditional medical-hazard flag.,modifier_withdrawal_hazard_conditional_on_dependence
LSD,Damage to your body,org,5,J,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
LSD,Damage to others,oth,3,P,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
LSD,One bad night,ac,45,P,compound_construct,The safety ratio concerns intrinsic toxicity while the added points concern duration and behavioral risk; no common value function links them.,Split acute medical from acute behavioral/psychiatric harm.,acute_medical_and_behavioral
Cannabis,Getting hooked,add,30,M,usable_evidence_unvalidated_scale,"A drug-specific transition estimate supports relative ordering, but the mapping from probability to 0–100 is not defined and exposure windows differ.",Retain the epidemiology; define one exposure window and a prespecified value function before rescoring.,modifier_use_disorder_probability
Cannabis,Danger in quitting,wd,20,M,construct_mismatch,"The meta-analysis estimates prevalence of withdrawal syndrome, not severe medical complications or lethality.",Move prevalence to dependence/withdrawal burden; keep medical hazard separate.,modifier_withdrawal_symptom_burden
Cannabis,Damage to your body,org,30,P,population_and_outcome_mismatch,A mortality ratio in a treatment population with substantial confounding is not a general organ-damage rate for cannabis users.,Use outcome-specific longitudinal evidence under a defined use pattern; retain confounding in uncertainty.,chronic_physical
Cannabis,Damage to others,oth,20,P,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Cannabis,One bad night,ac,15,P,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
MDMA,Getting hooked,add,30,P,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
MDMA,Danger in quitting,wd,15,J,unsupported_or_wrong_construct,"The cell measures symptom prevalence/severity, psychiatric risk, or author judgment rather than a common medical-hazard endpoint.",Move symptom burden and psychiatric risk to their own variables; use a conditional medical-hazard flag.,modifier_withdrawal_hazard_conditional_on_dependence
MDMA,Damage to your body,org,35,J,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
MDMA,Damage to others,oth,10,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
MDMA,One bad night,ac,45,M,compound_construct,"The safety ratio does not capture hyperthermia, water balance, setting, dose variability, or co-use in a consistent rate.",Estimate acute medical events per episode under defined context.,acute_medical
Ketamine,Getting hooked,add,40,J,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
Ketamine,Danger in quitting,wd,20,J,unsupported_or_wrong_construct,"The cell measures symptom prevalence/severity, psychiatric risk, or author judgment rather than a common medical-hazard endpoint.",Move symptom burden and psychiatric risk to their own variables; use a conditional medical-hazard flag.,modifier_withdrawal_hazard_conditional_on_dependence
Ketamine,Damage to your body,org,40,P,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
Ketamine,Damage to others,oth,20,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Ketamine,One bad night,ac,35,M,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Benzodiazepines,Getting hooked,add,55,J,construct_mismatch,Physical dependence during regular use is being conflated with benzodiazepine use disorder; the 2025 joint guideline explicitly distinguishes them and cites a 1.5% BZD-use-disorder estimate.,Do not retain a single score. Split use-disorder probability from physical-dependence probability.,modifier_use_disorder_and_physical_dependence
Benzodiazepines,Danger in quitting,wd,90,P,criterion_aligned_but_conditional,"Clinical evidence supports potentially life-threatening withdrawal, but only among people with sufficient exposure and physical dependence; the unconditional 0–100 value hides that condition.","Use an ordinal hazard flag conditional on dose, frequency, duration, and dependence; do not average it as a peer outcome.",modifier_withdrawal_hazard_conditional_on_dependence
Benzodiazepines,Damage to your body,org,20,J,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
Benzodiazepines,Damage to others,oth,25,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Benzodiazepines,One bad night,ac,30,P,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Tobacco (smoked),Getting hooked,add,90,M,usable_evidence_unvalidated_scale,"A drug-specific transition estimate supports relative ordering, but the mapping from probability to 0–100 is not defined and exposure windows differ.",Retain the epidemiology; define one exposure window and a prespecified value function before rescoring.,modifier_use_disorder_probability
Tobacco (smoked),Danger in quitting,wd,40,P,internal_contradiction,The evidence note says stopping is not physically dangerous while the score is 40 under a medical-danger definition.,Remove from additive score; represent symptom burden separately from medical hazard.,modifier_withdrawal_symptom_burden
Tobacco (smoked),Damage to your body,org,75,M,strong_direction_unvalidated_scale,"Longitudinal evidence supports major chronic harm, but the translation to a 0–100 distance has no external anchor or common user-year denominator.","Express natural-unit risk or health loss for a defined pattern, then apply a declared value function only if aggregation is needed.",chronic_physical
Tobacco (smoked),Damage to others,oth,40,M,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Tobacco (smoked),One bad night,ac,2,J,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Nicotine (no smoke),Getting hooked,add,85,P,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
Nicotine (no smoke),Danger in quitting,wd,35,P,internal_contradiction,The evidence note says stopping is not physically dangerous while the score is 35 under a medical-danger definition.,Remove from additive score; represent symptom burden separately from medical hazard.,modifier_withdrawal_symptom_burden
Nicotine (no smoke),Damage to your body,org,25,M,product_proxy,"Swedish snus is a product-specific proxy and does not represent all pouches, vaping, or nicotine replacement.",Split products/routes or define the row as snus specifically.,chronic_physical
Nicotine (no smoke),Damage to others,oth,5,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Nicotine (no smoke),One bad night,ac,3,J,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Cocaine,Getting hooked,add,70,M,usable_evidence_unvalidated_scale,"A drug-specific transition estimate supports relative ordering, but the mapping from probability to 0–100 is not defined and exposure windows differ.",Retain the epidemiology; define one exposure window and a prespecified value function before rescoring.,modifier_use_disorder_probability
Cocaine,Danger in quitting,wd,45,J,unsupported_or_wrong_construct,"The cell measures symptom prevalence/severity, psychiatric risk, or author judgment rather than a common medical-hazard endpoint.",Move symptom burden and psychiatric risk to their own variables; use a conditional medical-hazard flag.,modifier_withdrawal_hazard_conditional_on_dependence
Cocaine,Damage to your body,org,70,M,time_horizon_mismatch,"A 23.7-fold myocardial-infarction trigger in the first hour is acute-event evidence, not chronic organ damage.",Move this source to acute medical harm; find longitudinal evidence for chronic harm.,acute_medical
Cocaine,Damage to others,oth,65,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Cocaine,One bad night,ac,75,M,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Opioids (illicit),Getting hooked,add,95,P,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
Opioids (illicit),Danger in quitting,wd,50,M,conditional_and_complication_sensitive,"Withdrawal is usually not directly lethal but can be medically consequential through dehydration, comorbidity, pregnancy, relapse, or suicide risk; the current score has no defined endpoint.",Specify the endpoint and conditional population; separate direct medical hazard from symptom burden and relapse risk.,modifier_withdrawal_hazard_conditional_on_dependence
Opioids (illicit),Damage to your body,org,55,J,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
Opioids (illicit),Damage to others,oth,65,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Opioids (illicit),One bad night,ac,95,M,category_and_supply_mismatch,An IV-heroin safety ratio is being applied to a category dominated by variable fentanyl exposure and counterfeit supply.,"Split heroin, illicit fentanyl, and counterfeit pills; model supply uncertainty explicitly.",acute_medical_plus_supply_modifier
Methamphetamine,Getting hooked,add,95,P,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
Methamphetamine,Danger in quitting,wd,55,J,unsupported_or_wrong_construct,"The cell measures symptom prevalence/severity, psychiatric risk, or author judgment rather than a common medical-hazard endpoint.",Move symptom burden and psychiatric risk to their own variables; use a conditional medical-hazard flag.,modifier_withdrawal_hazard_conditional_on_dependence
Methamphetamine,Damage to your body,org,90,P,qualitative_body_of_evidence,"Animal, imaging, and clinical evidence supports concern, but not a calibrated total-body-harm rate per user-year.",Score specific chronic outcomes separately or use an ordinal evidence-supported band.,chronic_physical
Methamphetamine,Damage to others,oth,missing,S,suspended,No defensible comparable value is available under the current column design.,Keep missing until an external-harm denominator and evidence rule are defined.,external_harm_per_user_year
Methamphetamine,One bad night,ac,70,M,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Alcohol,Getting hooked,add,55,M,usable_evidence_unvalidated_scale,"A drug-specific transition estimate supports relative ordering, but the mapping from probability to 0–100 is not defined and exposure windows differ.",Retain the epidemiology; define one exposure window and a prespecified value function before rescoring.,modifier_use_disorder_probability
Alcohol,Danger in quitting,wd,95,M,criterion_aligned_but_conditional,"Clinical evidence supports potentially life-threatening withdrawal, but only among people with sufficient exposure and physical dependence; the unconditional 0–100 value hides that condition.","Use an ordinal hazard flag conditional on dose, frequency, duration, and dependence; do not average it as a peer outcome.",modifier_withdrawal_hazard_conditional_on_dependence
Alcohol,Damage to your body,org,90,M,strong_direction_unvalidated_scale,"Longitudinal evidence supports major chronic harm, but the translation to a 0–100 distance has no external anchor or common user-year denominator.","Express natural-unit risk or health loss for a defined pattern, then apply a declared value function only if aggregation is needed.",chronic_physical
Alcohol,Damage to others,oth,95,P,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Alcohol,One bad night,ac,60,M,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
